question,option_a,option_b,option_c,option_d,answer,explanation,topic
"A subject requests access to their study data. Under HIPAA, you should:",Provide all source documents unredacted.,Offer access to their PHI while ensuring confidentiality of others.,Decline because data belongs to sponsor.,Provide summary only without identifiers.,B,"HIPAA gives individuals the right to access their own PHI, with othersâ€™ information redacted.",Ethical and Participant Safety Considerations
An LAR consents but the subject verbally refuses enrollment. The CRC should:,Enroll based on LAR consent.,Prioritize the subjectâ€™s assent and not enroll.,Ask LAR to override subject refusal.,Proceed if IRB approves.,B,Respect for persons requires honoring the subjectâ€™s dissent even if LAR consented.,Ethical and Participant Safety Considerations
A new risk discovered during a study must be:,Documented in the protocol only.,Reported to IRB and updated in consent form.,Communicated to sponsor only.,Discussed at study end.,B,New risks require IRB notification and amendment of consent materials.,Ethical and Participant Safety Considerations
Compensation is increased mid-study. The CRC must:,Implement without IRB approval.,Seek IRB approval for amendment.,Notify subjects verbally only.,Adjust payments retrospectively.,B,"Changes affecting voluntariness, like compensation, need IRB approval before implementation.",Ethical and Participant Safety Considerations
Which regulation establishes the Common Rule?,21 CFR Part 11,45 CFR Part 46,21 CFR Part 50,21 CFR Part 312,B,"45 CFR Part 46, Subpart A outlines the Common Rule for human subject protection.",Clinical Research Standards and Guidelines
"During a consent discussion, a potential subject asks about possible future uses of their biosamples. What is the best response?",We will only use your samples for this specific study.,We may deidentify your samples for future unrelated research with broad consent.,Your samples will be discarded after completion.,You cannot withdraw samples once given.,B,Broad consent allows use of deidentified samples in future research.,Ethical and Participant Safety Considerations
A study meets the criteria for expedited review. Which change to the protocol also qualifies?,Increasing dose beyond approved limits.,Minor blood draw volume increase for safety monitoring.,Adding a new experimental arm.,Including vulnerable prison population.,B,Minor risk changes may qualify for expedited IRB review.,Clinical Research Standards and Guidelines
A monitor identifies that IP temperature logs were not reviewed for a week. What should the CRA do?,Ignore if no excursion noted.,Document deviation and retrain pharmacy staff immediately.,Destroy all IP stock.,Adjust logs retroactively.,B,Lapses in monitoring IP storage require documentation and corrective training.,Clinical Trial Operations (GCPs)
A coordinator realizes the IRB approval letter expired two weeks ago. What is the required action?,Continue enrolling and apply for extension later.,Halt all research activities until renewal is obtained.,Notify FDA directly.,Ignore since minimal risk.,B,Research must stop when IRB approval lapses until renewed.,Study and Site Management
An interim analysis shows efficacy early. What is the appropriate procedure?,Unblind all data and publish results.,Refer to DSMB to consider stopping rules.,Continue without change.,Notify participants.,B,DSMB reviews interim data against stopping criteria.,Research Design and Data Management
A subject requests to withdraw but permits continued data use. How should the CRC proceed?,Continue collecting data without new consent.,Stop interventions but retain existing data per consent.,Erase all data collected.,Force continued participation.,B,Honor withdrawal of interventions but existing data may be retained if consented.,Ethical and Participant Safety Considerations
Which document outlines responsibilities of sponsor and investigator?,Protocol synopsis,Investigatorâ€™s Brochure,Form FDA 1572,Consent form,C,Form 1572 details investigator commitments to sponsor.,Clinical Research Standards and Guidelines
